# SPH simulations of collisions between MS stars (Freitag & Benz 2005), computed with an SPH code developed by Willy Benz
# Available on-line at http://www.ast.cam.ac.uk/~freitag/MODEST_WG4/FB_Collision_Data/

# If you use these results, please cite Freitag & Benz 2005
# In case of questions, problems or if you want to report errors, contact Marc Freitag (marc.freitag@gmail.com)

# All quantities are in solar units: R_sun = 7e8 m; M_sun = 2e30 kg; G=1
# The reference frame is the CM frame for the pre-collision stars
# Axis Z is perpendicular to (initial) orbital plane. 
# Initially, the stars have their centres in the XY plane, see the diagram below:
#    
#         ____
#       .'    `.          Geometry of the initial conditions (at infinite separation)
#      /        \         CM reference frame
#  -   |    ==============>
#  |   \        /
#  |    `.____.'        Y ^
#  |         star 1       | 
#  |                      |                    _.-""""-._
#  | Impact               |                  .'          `.
#  | parameter            |                 /              \
#  |                      |---------> X    |                |
#  - - - - - - - - - - - - - - - - - - - - | <======        |
#                                          |                |
#                                           \              /
#                                            `._        _.'
#                                               `-....-' star 2 (more massive)

# Beware: 
#         - simulations are sorted according to their id number, _not_ to any sensible physical quantity
#         - there may be many simulstions with the same initial conditions (corresponding to different 
#           resolutions, for instance), see file ini_cond.txt

# Note: Stars are advanced from infinite separation to 3*(R1+R2) separation on point-mass, 
#       hyperbolic trajectories. The SPH simulation is started at that point (T=0)

# ----------------------------------------------------------------------
# This file contains "raw results" for all collision simulations
# ----------------------------------------------------------------------

# The quantities in this file are the following:

# Coll_id  : Unique id number for the collision (same as in other files)
# Star_id_1, Star_id_2 : Id numbers of stars (see stars.txt)
# Vrel_inf : Relative velocity at infinite separation
# ImpParam : Impact parameter
# Tend     : Total integration time (in physical units)

Coll_id Star_id_1 Star_id_2 Vrel_inf    ImpParam    Tend     
------- --------- --------- ----------- ----------- ---------
      1        57        57 1.00000e-01 0.00000e+00 4.000e+01
      2        57        57 2.00000e-01 0.00000e+00 4.000e+01
      3        57        57 3.00000e-01 0.00000e+00 4.000e+01
      4        57        57 4.00000e-01 0.00000e+00 4.000e+01
      5        57        57 6.00000e-01 0.00000e+00 4.000e+01
      6        57        57 8.00000e-01 0.00000e+00 4.000e+01
      7        57        57 1.00000e+00 0.00000e+00 4.000e+01
      8        57        57 1.20000e+00 0.00000e+00 4.000e+01
      9        57        57 1.60000e+00 0.00000e+00 4.000e+01
     10        57        57 2.00000e+00 0.00000e+00 4.000e+01
     11        57        57 2.50000e+00 0.00000e+00 4.000e+01
     12        57        57 3.00000e+00 0.00000e+00 1.150e+02
     13        62        62 1.00000e-01 0.00000e+00 4.000e+01
     14        57        57 1.00000e-01 5.00000e-01 4.000e+01
     15        57        57 2.00000e-01 5.00000e-01 4.000e+01
     16        57        57 3.00000e-01 5.00000e-01 4.000e+01
     17        57        57 4.00000e-01 5.00000e-01 4.000e+01
     18        57        57 6.00000e-01 5.00000e-01 4.000e+01
     19        57        57 8.00000e-01 5.00000e-01 4.000e+01
     20        57        57 1.00000e+00 5.00000e-01 4.000e+01
     21        57        57 1.20000e+00 5.00000e-01 4.000e+01
     22        57        57 1.60000e+00 5.00000e-01 4.000e+01
     23        57        57 2.00000e+00 5.00000e-01 4.000e+01
     24        57        57 2.50000e+00 5.00000e-01 4.000e+01
     25        57        57 3.00000e+00 5.00000e-01 1.050e+02
     26        62        62 1.00000e-01 5.00000e-01 4.000e+01
     27        57        57 5.00000e+00 0.00000e+00 1.050e+02
     28        57        57 7.50000e+00 0.00000e+00 1.500e+02
     29        62        62 3.00000e+00 0.00000e+00 4.000e+01
