# SPH simulations of collisions between MS stars (Freitag & Benz 2005), computed with an SPH code developed by Willy Benz
# Available on-line at http://www.ast.cam.ac.uk/~freitag/MODEST_WG4/FB_Collision_Data/

# If you use these results, please cite Freitag & Benz 2005
# In case of questions, problems or if you want to report errors, contact Marc Freitag (marc.freitag@gmail.com)

# All quantities are in solar units: R_sun = 7e8 m; M_sun = 2e30 kg; G=1
# The reference frame is the CM frame for the pre-collision stars
# Axis Z is perpendicular to (initial) orbital plane. 
# Initially, the stars have their centres in the XY plane, see the diagram below:
#    
#         ____
#       .'    `.          Geometry of the initial conditions (at infinite separation)
#      /        \         CM reference frame
#      |    ==============>
#      \        /
#       `.____.'        Y ^
#            star 1       | 
#                         |                    _.-""""-._
#                         |                  .'          `.
#                         |                 /              \
#                         |---------> X    |                |
#                                          | <======        |
#                                          |                |
#                                           \              /
#                                            `._        _.'
#                                               `-....-' star 2 (more massive)

# Beware: 
#         - simulations are sorted according to their id number, _not_ to any sensible physical quantity
#         - there may be many simulstions with the same initial conditions (corresponding to different 
#           resolutions, for instance), see file ini_cond.txt
#         - numbering of post-collision stars is arbitrary;
#           star identified as "2" at the end of the simulation may not be the more massive one;
#           the numbering (1,2) is not conserved during the collision

# ----------------------------------------------------------------------
# This file contains "raw results" for all collision simulations
# ----------------------------------------------------------------------

# The quantities in this file are the following:

# Coll_id  : Unique id number for the collision (same as in other files)
# Nstar    : Number of stars at the end of the simulation (0, 1 or 2)
# M_1, M_2 : Masses of the stars (at the end of the simulation)
# Mlost    : Mass of the gas unbound to any star with E>0
# Mdoubt   : Mass of the gas unbound to any star with E<0
# X_1, Y_1, Z_1    : Position of centre of star 1
# X_2, Y_2, Z_2    : Position of centre of star 2
# Vx_1, Vy_1, Vz_1 : Velocity of star 1
# Vx_2, Vy_2, Vz_2 : Velocity of star 2
# Lx_1, Ly_1, Lz_1 : Spin angular momentum of star 1 (relative to its CM)
# Lx_2, Ly_2, Lz_2 : Spin angular momentum of star 1 (relative to its CM)

Coll_id Nstar M_1         M_2         Mlost        Mdoubt      X_1          X_2          Y_1          Y_2          Z_1          Z_2          Vx_1         Vx_2         Vy_1         Vy_2         Vz_1         Vz_2         Lx_1         Lx_2         Ly_1         Ly_2         Lz_1         Lz_2        
------- ----- ----------- ----------- ------------ ----------- ------------ ------------ ------------ ------------ ------------ ------------ ------------ ------------ ------------ ------------ ------------ ------------ ------------ ------------ ------------ ------------ ------------ ------------
      1     1 1.83722e+00 0.00000e+00  1.60847e-01 1.93068e-03 -3.90238e-02  0.00000e+00 -1.42682e-02  0.00000e+00  1.27187e-02  0.00000e+00 -4.01451e-03  0.00000e+00 -1.99174e-03  0.00000e+00 -7.38600e-04  0.00000e+00  5.17775e-03  0.00000e+00  1.08245e-02  0.00000e+00 -1.09057e-02  0.00000e+00
      2     1 1.83958e+00 0.00000e+00  1.56421e-01 3.99807e-03  3.61404e-03  0.00000e+00  3.68311e-02  0.00000e+00 -2.52351e-02  0.00000e+00  1.09216e-03  0.00000e+00  2.49346e-03  0.00000e+00 -1.55670e-03  0.00000e+00 -1.50861e-02  0.00000e+00  1.05756e-03  0.00000e+00  1.71260e-02  0.00000e+00
      3     1 1.83178e+00 0.00000e+00  1.65484e-01 2.73228e-03 -1.53490e-02  0.00000e+00  1.32098e-03  0.00000e+00 -2.36699e-02  0.00000e+00 -1.80324e-03  0.00000e+00 -1.05021e-03  0.00000e+00 -2.13207e-03  0.00000e+00  1.49585e-02  0.00000e+00 -1.01580e-02  0.00000e+00  5.10640e-03  0.00000e+00
      4     1 1.83423e+00 0.00000e+00  1.64110e-01 1.66024e-03 -2.36090e-03  0.00000e+00 -1.27127e-02  0.00000e+00 -1.36104e-02  0.00000e+00  1.16257e-03  0.00000e+00 -1.03683e-03  0.00000e+00 -1.19871e-03  0.00000e+00 -6.66750e-04  0.00000e+00 -4.99689e-03  0.00000e+00  2.07409e-03  0.00000e+00
      5     1 1.82087e+00 0.00000e+00  1.77309e-01 1.82298e-03 -1.14498e-02  0.00000e+00  8.75280e-03  0.00000e+00  4.18763e-02  0.00000e+00 -2.67730e-04  0.00000e+00  3.48360e-04  0.00000e+00  1.79925e-03  0.00000e+00  8.91160e-03  0.00000e+00  1.82450e-02  0.00000e+00 -5.45242e-03  0.00000e+00
      6     1 1.81075e+00 0.00000e+00  1.88344e-01 9.02630e-04  5.49067e-03  0.00000e+00  1.37280e-02  0.00000e+00  5.92747e-02  0.00000e+00  2.72900e-05  0.00000e+00  1.73137e-03  0.00000e+00  2.12609e-03  0.00000e+00  1.09874e-03  0.00000e+00  4.71056e-03  0.00000e+00 -6.55406e-03  0.00000e+00
      7     1 1.79872e+00 0.00000e+00  1.99004e-01 2.27562e-03  1.46649e-02  0.00000e+00 -1.85693e-02  0.00000e+00  3.46513e-02  0.00000e+00 -2.90230e-04  0.00000e+00 -1.31022e-03  0.00000e+00  2.91540e-03  0.00000e+00  7.61703e-03  0.00000e+00  1.77850e-02  0.00000e+00  5.69051e-03  0.00000e+00
      8     1 1.78264e+00 0.00000e+00  2.11606e-01 5.75110e-03  1.21949e-02  0.00000e+00  2.07879e-03  0.00000e+00  5.57205e-02  0.00000e+00  1.03039e-03  0.00000e+00 -2.16180e-04  0.00000e+00  3.38402e-03  0.00000e+00 -6.11618e-03  0.00000e+00 -6.00430e-04  0.00000e+00  1.96312e-02  0.00000e+00
      9     1 1.73426e+00 0.00000e+00  2.57968e-01 7.77229e-03  1.86971e-02  0.00000e+00  5.63839e-03  0.00000e+00  4.93233e-02  0.00000e+00  8.02490e-04  0.00000e+00  9.56270e-04  0.00000e+00  1.72209e-03  0.00000e+00 -1.63340e-03  0.00000e+00  7.99195e-03  0.00000e+00  1.74383e-02  0.00000e+00
     10     1 1.68210e+00 0.00000e+00  3.10343e-01 7.56071e-03  3.87505e-02  0.00000e+00  2.69594e-02  0.00000e+00 -2.63069e-02  0.00000e+00  2.16445e-03  0.00000e+00  3.97280e-04  0.00000e+00 -1.65381e-03  0.00000e+00 -9.73875e-03  0.00000e+00 -1.02939e-02  0.00000e+00  5.54730e-04  0.00000e+00
     11     1 1.59939e+00 0.00000e+00  3.92112e-01 8.49540e-03  4.05868e-02  0.00000e+00 -4.40617e-03  0.00000e+00 -4.73802e-02  0.00000e+00  2.20196e-03  0.00000e+00 -6.49370e-04  0.00000e+00 -2.35979e-03  0.00000e+00  1.32447e-02  0.00000e+00  3.04543e-03  0.00000e+00  1.54013e-02  0.00000e+00
     12     1 1.47380e+00 0.00000e+00  5.24580e-01 1.57780e-03  6.86550e-01  0.00000e+00 -6.97490e-01  0.00000e+00  1.87980e-01  0.00000e+00  6.63290e-03  0.00000e+00 -9.80460e-03  0.00000e+00  3.26270e-03  0.00000e+00 -1.00570e-02  0.00000e+00 -2.08470e-02  0.00000e+00 -3.93550e-03  0.00000e+00
