# SPH simulations of collisions between MS stars (Freitag & Benz 2005), computed with an SPH code developed by Willy Benz
# Available on-line at http://www.ast.cam.ac.uk/~freitag/MODEST_WG4/FB_Collision_Data/

# If you use these results, please cite Freitag & Benz 2004
# In case of questions, problems or if you want to report errors, contact Marc Freitag (marc.freitag@gmail.com)

# All quantities are in solar units: R_sun = 7e8 m; M_sun = 2e30 kg; G=1

# ----------------------------------------------------------------------
# This file contains information about the stellar models
# ----------------------------------------------------------------------
# Note that not all stellar models have been used for Freitag & Benz 2004

# The quantities in this file are the following:

# Star_id       : Unique id number for the model (same as fields Star_id_1 and Star_id_2 in init_cond.txt)
# Name          : Model name (for authors' use)
# NominalMass   : Nominal mass (in general ZAMS mass)
# Mass          : Actual mass
# Radius        : Radius (theoretical; the radius of the SPH configuration may be different, see Fig. 8 of Freitag & Benz 2005)
# R50,R75,R90   : Radius enclosing 50, 75 and 90% of the stellar mass
# PartNumber    : Number of SPH particles
# StructureFile : Name of file containing stellar struture (for authors' use)

Star_id  Name               NominalMass  Mass        Radius      R50         R75         R90         PartNumber  StructureFile
-------  -----------------  -----------  ----------  ----------  ----------  ----------  ----------  ----------  ------------------------
      1  m0p15poly1p5_1000   1.500e-01    1.500e-01   1.510e-01   7.412e-02   9.500e-02   1.114e-01         889  m0p15poly1p5.si         
      2  m0p15poly1p5_2000   1.500e-01    1.500e-01   1.510e-01   7.412e-02   9.500e-02   1.114e-01        1909  m0p15poly1p5.si         
      3  m0p1poly1p5_1000    1.000e-01    1.000e-01   1.050e-01   5.146e-02   6.595e-02   7.736e-02         889  m0p1poly1p5.si          
      4  m0p1poly1p5_2000    1.000e-01    1.000e-01   1.050e-01   5.146e-02   6.595e-02   7.736e-02        1909  m0p1poly1p5.si          
      5  m0p25poly1p5_1000   2.500e-01    2.500e-01   2.380e-01   1.174e-01   1.505e-01   1.765e-01         889  m0p25poly1p5.si         
      6  m0p25poly1p5_2000   2.500e-01    2.500e-01   2.380e-01   1.174e-01   1.505e-01   1.765e-01        1909  m0p25poly1p5.si         
      7  m0p2poly1p5_1000    2.000e-01    2.000e-01   1.950e-01   9.602e-02   1.231e-01   1.444e-01         889  m0p2poly1p5.si          
      8  m0p2poly1p5_2000    2.000e-01    2.000e-01   1.950e-01   9.602e-02   1.231e-01   1.444e-01        1909  m0p2poly1p5.si          
      9  m0p3poly1p5_1000    3.000e-01    3.000e-01   2.810e-01   1.383e-01   1.773e-01   2.079e-01         889  m0p3poly1p5.si          
     10  m0p3poly1p5_2000    3.000e-01    3.000e-01   2.810e-01   1.383e-01   1.773e-01   2.079e-01        1909  m0p3poly1p5.si          
     11  m0p4_1000           4.000e-01    4.000e-01   3.640e-01   1.881e-01   2.387e-01   2.773e-01         891  m0p4z020y028_mo.07591.si
     12  m0p4_1000_r         4.000e-01    4.000e-01   3.640e-01   1.881e-01   2.387e-01   2.773e-01         891  m0p4z020y028_mo.07591.si
     13  m0p4_2000           4.000e-01    4.000e-01   3.640e-01   1.881e-01   2.387e-01   2.773e-01        1909  m0p4z020y028_mo.07591.si
     14  m0p4_2000_r         4.000e-01    4.000e-01   3.640e-01   1.881e-01   2.387e-01   2.773e-01        1909  m0p4z020y028_mo.07591.si
