# SPH simulations of collisions between MS stars (Freitag & Benz 2005), computed with an SPH code developed by Willy Benz
# Available on-line at http://www.ast.cam.ac.uk/~freitag/MODEST_WG4/FB_Collision_Data/

# If you use these results, please cite Freitag & Benz 2005
# In case of questions, problems or if you want to report errors, contact Marc Freitag (marc.freitag@gmail.com)

# All quantities are in solar units: R_sun = 7e8 m; M_sun = 2e30 kg; G=1
# The reference frame is the CM frame for the pre-collision stars
# Axis Z is perpendicular to (initial) orbital plane. 
# Initially, the stars have their centres in the XY plane, see the diagram below:
#    
#         ____
#       .'    `.          Geometry of the initial conditions (at infinite separation)
#      /        \         CM reference frame
#  -   |    ==============>
#  |   \        /
#  |    `.____.'        Y ^
#  |         star 1       | 
#  |                      |                    _.-""""-._
#  | Impact               |                  .'          `.
#  | parameter            |                 /              \
#  |                      |---------> X    |                |
#  - - - - - - - - - - - - - - - - - - - - | <======        |
#                                          |                |
#                                           \              /
#                                            `._        _.'
#                                               `-....-' star 2 (more massive)

# Beware: 
#         - simulations are sorted according to their id number, _not_ to any sensible physical quantity

# Note: Stars are advanced from infinite separation to 3*(R1+R2) separation on point-mass, 
#       hyperbolic trajectories. The SPH simulation is started at that point (T=0)

# ----------------------------------------------------------------------------------------------
# This file contains a summary of initial conditions and outcomes for all collision simulations
# ----------------------------------------------------------------------------------------------

# The quantities in this file are the following:

# Coll_id      : Unique id number for the collision (same as in other files) 
# Mini1, Mini2 : Initial masses
# Vrel_inf     : Relative velocity at infinite separation
# ImpParam     : Impact parameter
# Mfin1, Mfin2 : Final masses
# Nstar        : Number of stars at the end of the simulation (0, 1 or 2)
# dM           : Fractional mass loss
# dE           : Fractional loss orbital energy (per unit mass)
# dL           : Fractional loss of orbital angular momentum (per unit mass)
# dTheta       : Difference between the deflection angle for the relative velocity and 
#                the value for point-mass Keplerian encounter dTheta=Theta_coll-Theta_Kep

Coll_id Mini1     Mini2     Vrel_inf  ImpParam  Mfin1     Mfin2     Nstar dM        dE         dL         dTheta    
------- --------- --------- --------- --------- --------- --------- ----- --------- ---------- ---------- ----------
      2 1.000e+00 1.000e+00 2.000e-01 0.000e+00 0.000e+00 1.840e+00     1 8.021e-02  1.000e+00  1.000e+00  0.000e+00
      3 1.000e+00 1.000e+00 3.000e-01 0.000e+00 0.000e+00 1.832e+00     1 8.411e-02  1.000e+00  1.000e+00  0.000e+00
      4 1.000e+00 1.000e+00 4.000e-01 0.000e+00 0.000e+00 1.834e+00     1 8.289e-02  1.000e+00  1.000e+00  0.000e+00
      5 1.000e+00 1.000e+00 6.000e-01 0.000e+00 0.000e+00 1.821e+00     1 8.957e-02  1.000e+00  1.000e+00  0.000e+00
      6 1.000e+00 1.000e+00 8.000e-01 0.000e+00 0.000e+00 1.811e+00     1 9.462e-02  1.000e+00  1.000e+00  0.000e+00
      8 1.000e+00 1.000e+00 1.200e+00 0.000e+00 0.000e+00 1.783e+00     1 1.087e-01  1.000e+00  1.000e+00  0.000e+00
      9 1.000e+00 1.000e+00 1.600e+00 0.000e+00 0.000e+00 1.734e+00     1 1.329e-01  1.000e+00  1.000e+00  0.000e+00
     10 1.000e+00 1.000e+00 2.000e+00 0.000e+00 0.000e+00 1.682e+00     1 1.590e-01  1.000e+00  1.000e+00  0.000e+00
     11 1.000e+00 1.000e+00 2.500e+00 0.000e+00 0.000e+00 1.599e+00     1 2.003e-01  1.000e+00  1.000e+00  0.000e+00
     13 1.000e+00 1.000e+00 1.000e-01 0.000e+00 0.000e+00 1.834e+00     1 8.292e-02  1.000e+00  1.000e+00  0.000e+00
     15 1.000e+00 1.000e+00 2.000e-01 5.000e-01 0.000e+00 1.836e+00     1 8.201e-02  1.000e+00  1.000e+00  0.000e+00
     16 1.000e+00 1.000e+00 3.000e-01 5.000e-01 0.000e+00 1.835e+00     1 8.260e-02  1.000e+00  1.000e+00  0.000e+00
