"epoch","MoE_0129_92hk0cay - awl_param_class","MoE_0129_92hk0cay - awl_param_class__MIN","MoE_0129_92hk0cay - awl_param_class__MAX","MoE_0129_92hk0cay - _step","MoE_0129_92hk0cay - _step__MIN","MoE_0129_92hk0cay - _step__MAX","MoE_0129_92hk0cay - awl_param_reg","MoE_0129_92hk0cay - awl_param_reg__MIN","MoE_0129_92hk0cay - awl_param_reg__MAX"
"0","0.9816614389419556","0.9816614389419556","0.9816614389419556","0","0","0","0.9785704016685486","0.9785704016685486","0.9785704016685486"
"1","0.9583327770233154","0.9583327770233154","0.9583327770233154","1","1","1","0.9578961730003357","0.9578961730003357","0.9578961730003357"
"2","0.9361139535903931","0.9361139535903931","0.9361139535903931","2","2","2","0.9376171827316284","0.9376171827316284","0.9376171827316284"
"3","0.9148569107055664","0.9148569107055664","0.9148569107055664","3","3","3","0.9176343083381653","0.9176343083381653","0.9176343083381653"
"4","0.8938848972320557","0.8938848972320557","0.8938848972320557","4","4","4","0.8977760076522827","0.8977760076522827","0.8977760076522827"
"5","0.8735079169273376","0.8735079169273376","0.8735079169273376","5","5","5","0.8780590891838074","0.8780590891838074","0.8780590891838074"
"6","0.8531522750854492","0.8531522750854492","0.8531522750854492","6","6","6","0.8584079742431641","0.8584079742431641","0.8584079742431641"
"7","0.8339336514472961","0.8339336514472961","0.8339336514472961","7","7","7","0.8389374613761902","0.8389374613761902","0.8389374613761902"
"8","0.8145118355751038","0.8145118355751038","0.8145118355751038","8","8","8","0.8195695877075195","0.8195695877075195","0.8195695877075195"
"9","0.79521244764328","0.79521244764328","0.79521244764328","9","9","9","0.8002375960350037","0.8002375960350037","0.8002375960350037"
"10","0.775915265083313","0.775915265083313","0.775915265083313","10","10","10","0.7809701561927795","0.7809701561927795","0.7809701561927795"
"11","0.7575604915618896","0.7575604915618896","0.7575604915618896","11","11","11","0.7619070410728455","0.7619070410728455","0.7619070410728455"
"12","0.7399966716766357","0.7399966716766357","0.7399966716766357","12","12","12","0.7429862022399902","0.7429862022399902","0.7429862022399902"
"13","0.7224891781806946","0.7224891781806946","0.7224891781806946","13","13","13","0.7241325378417969","0.7241325378417969","0.7241325378417969"
"14","0.7049761414527893","0.7049761414527893","0.7049761414527893","14","14","14","0.7053787112236023","0.7053787112236023","0.7053787112236023"
"15","0.6874295473098755","0.6874295473098755","0.6874295473098755","15","15","15","0.6867064237594604","0.6867064237594604","0.6867064237594604"
"16","0.6706730723381042","0.6706730723381042","0.6706730723381042","16","16","16","0.6682445406913757","0.6682445406913757","0.6682445406913757"
"17","0.6546539068222046","0.6546539068222046","0.6546539068222046","17","17","17","0.6499341130256653","0.6499341130256653","0.6499341130256653"
"18","0.638830840587616","0.638830840587616","0.638830840587616","18","18","18","0.6317160725593567","0.6317160725593567","0.6317160725593567"
"19","0.6225511431694031","0.6225511431694031","0.6225511431694031","19","19","19","0.6136000752449036","0.6136000752449036","0.6136000752449036"
"20","0.607988715171814","0.607988715171814","0.607988715171814","20","20","20","0.595838189125061","0.595838189125061","0.595838189125061"
"21","0.5943646430969238","0.5943646430969238","0.5943646430969238","21","21","21","0.5783153176307678","0.5783153176307678","0.5783153176307678"
"22","0.5810462832450867","0.5810462832450867","0.5810462832450867","22","22","22","0.5609129071235657","0.5609129071235657","0.5609129071235657"
"23","0.5678686499595642","0.5678686499595642","0.5678686499595642","23","23","23","0.5437513589859009","0.5437513589859009","0.5437513589859009"
"24","0.5556666254997253","0.5556666254997253","0.5556666254997253","24","24","24","0.5268620252609253","0.5268620252609253","0.5268620252609253"
"25","0.5444514155387878","0.5444514155387878","0.5444514155387878","25","25","25","0.5101487636566162","0.5101487636566162","0.5101487636566162"
"26","0.5348867177963257","0.5348867177963257","0.5348867177963257","26","26","26","0.49409687519073486","0.49409687519073486","0.49409687519073486"
"27","0.5265660881996155","0.5265660881996155","0.5265660881996155","27","27","27","0.4784993529319763","0.4784993529319763","0.4784993529319763"
"28","0.5172721743583679","0.5172721743583679","0.5172721743583679","28","28","28","0.4629601836204529","0.4629601836204529","0.4629601836204529"
"29","0.5090526342391968","0.5090526342391968","0.5090526342391968","29","29","29","0.447943776845932","0.447943776845932","0.447943776845932"
