     time             m1            m2            x1            y1            z1            x2            y2            z2           vx1           vy1           vz1           vx2           vy2           vz2    separation   semimajor_a  eccentricity    unbound_m          spin1         spin2       rstar95       rstar99        r_peri        v1_inf        v2_inf   orb._period
 0.29060D-01   1.000050       1.000050     -0.794515E-01   4.91604      0.763760E-13  0.794515E-01  -4.91604      0.112641E-13 -0.203490      -2.87093      0.811981E-11  0.203490       2.87093     -0.423993E-11   9.83335     -0.611132E-01   14.0905       0.00000      0.702959E-09  0.756106E-09  0.499433      0.644191      0.800000       2.86041       2.86041               NaN
 0.10068D+01   1.000050       1.000050     -0.278010       2.10059      0.313104E-09  0.278010      -2.10059     -0.359915E-09 -0.201755      -2.89435      0.124956E-08  0.201755       2.89435     -0.137774E-08   4.23782     -0.611128E-01   14.0905       0.00000      0.343423E-07  0.348702E-07  0.499453      0.644475      0.799998       2.86042       2.86042               NaN
 0.20002D+01  0.9862856      0.9814603     -0.391579     -0.836201     -0.655933E-04  0.390561      0.835325     -0.522045E-06  0.107098      -2.92123     -0.125146E-03 -0.108210       2.92009     -0.152401E-04   1.84547     -0.614251E-01   14.2117      0.323547E-01  0.444033E-02  0.477767E-02  0.498393      0.648423      0.811530       2.83072       2.82922               NaN
 0.29999D+01  0.9833621      0.9834542     -0.266741      -3.70636     -0.460835E-04  0.266665       3.70641      0.260596E-05  0.129045      -2.84950     -0.273226E-04 -0.129071       2.84953     -0.989716E-05   7.43194     -0.614319E-01   14.2850      0.332843E-01  0.395469E-02  0.397236E-02  0.687313       1.24369      0.816120       2.82913       2.82916               NaN
 0.39999D+01  0.9832304      0.9833223     -0.137181      -6.54984     -0.432595E-04  0.137056       6.54987     -0.265330E-04  0.129548      -2.83885     -0.223547E-04 -0.129573       2.83886     -0.205491E-04   13.1026     -0.614484E-01   14.2788      0.335478E-01  0.393715E-02  0.395620E-02  0.602667       1.61066      0.815963       2.82857       2.82858               NaN
 0.50003D+01  0.9832117      0.9833228     -0.757793E-02  -9.38726     -0.529165E-04  0.741456E-02   9.38726     -0.673247E-04  0.129527      -2.83458     -0.228419E-04 -0.129546       2.83457     -0.257778E-04   18.7745     -0.614602E-01   14.2704      0.335661E-01  0.393088E-02  0.395598E-02  0.583620       1.64966      0.815598       2.82829       2.82829               NaN
 0.59992D+01  0.9832094      0.9833199      0.121786      -12.2175     -0.984085E-04 -0.121964       12.2175     -0.988896E-04  0.129469      -2.83227     -0.280984E-04 -0.129484       2.83227     -0.285064E-04   24.4362     -0.614672E-01   14.2633      0.335713E-01  0.393096E-02  0.395551E-02  0.594597       1.58037      0.815261       2.82812       2.82813               NaN
 0.70005D+01  0.9832153      0.9833279      0.251375      -15.0527     -0.126972E-03 -0.251584       15.0527     -0.113667E-03  0.129414      -2.83082     -0.295659E-04 -0.129427       2.83082     -0.276774E-04   30.1096     -0.614725E-01   14.2573      0.335573E-01  0.393217E-02  0.395629E-02  0.589042       1.43300      0.814961       2.82801       2.82801               NaN
 0.80009D+01  0.9832158      0.9833310      0.380816      -17.8841     -0.170771E-03 -0.381026       17.8841     -0.141877E-03  0.129370      -2.82984     -0.321894E-04 -0.129379       2.82984     -0.281099E-04   35.7763     -0.614759E-01   14.2521      0.335537E-01  0.393316E-02  0.395667E-02  0.588623       1.40688      0.814686       2.82794       2.82794               NaN
 0.90008D+01  0.9832143      0.9833348      0.510159      -20.7133     -0.212421E-03 -0.510366       20.7133     -0.176838E-03  0.129336      -2.82912     -0.337092E-04 -0.129341       2.82911     -0.291702E-04   41.4391     -0.614786E-01   14.2474      0.335514E-01  0.393372E-02  0.395836E-02  0.590583       1.38761      0.814432       2.82788       2.82788               NaN
 0.99991D+01  0.9832139      0.9833363      0.639267      -23.5374     -0.246231E-03 -0.639467       23.5374     -0.206099E-03  0.129307      -2.82857     -0.346460E-04 -0.129309       2.82857     -0.298772E-04   47.0921     -0.614806E-01   14.2431      0.335504E-01  0.393300E-02  0.395874E-02  0.590328       1.38765      0.814194       2.82783       2.82783               NaN
