     time             m1            m2            x1            y1            z1            x2            y2            z2           vx1           vy1           vz1           vx2           vy2           vz2    separation   semimajor_a  eccentricity    unbound_m          spin1         spin2       rstar95       rstar99        r_peri        v1_inf        v2_inf   orb._period
 0.29051D-01   1.000050       1.000050     -0.211402       4.88574      0.157742E-12  0.211402      -4.88574      0.124217E-12 -0.158577      -3.78594      0.112766E-10  0.158577       3.78594      0.683609E-11   9.78062     -0.350741E-01   23.8089       0.00000      0.779401E-09  0.758694E-09  0.499433      0.644191      0.800000       3.77575       3.77575               NaN
 0.10071D+01   1.000050       1.000021     -0.365257       1.17165      0.726293E-09  0.365257      -1.17165     -0.626130E-07 -0.151505      -3.82637      0.498608E-08  0.151505       3.82637     -0.268175E-08   2.45453     -0.350726E-01   23.8095      0.287782E-04  0.408954E-06  0.423177E-06  0.499225      0.644688      0.799989       3.77580       3.77580               NaN
 0.20003D+01  0.9760394      0.9761765     -0.376664      -2.62610     -0.133943E-04  0.376598       2.62603     -0.484534E-04  0.668340E-01  -3.76522     -0.437368E-05 -0.668814E-01   3.76515     -0.608613E-04   5.30587     -0.348682E-01   24.4534      0.478846E-01  0.397341E-02  0.400916E-02  0.642636      0.967716      0.817778       3.74130       3.74124               NaN
 0.29997D+01  0.9742858      0.9743377     -0.305053      -6.38014     -0.215789E-05  0.305044       6.38006     -0.678198E-04  0.711347E-01  -3.75015     -0.557097E-05 -0.711324E-01   3.75012     -0.467145E-04   12.7748     -0.348160E-01   24.5580      0.514771E-01  0.366673E-02  0.369365E-02  0.645243       1.56862      0.820194       3.74064       3.74061               NaN
 0.39995D+01  0.9742490      0.9743239     -0.233872      -10.1273     -0.179679E-04  0.233773       10.1271     -0.135701E-03  0.711382E-01  -3.74593     -0.112250E-04 -0.711618E-01   3.74588     -0.518491E-04   20.2598     -0.348238E-01   24.5343      0.515276E-01  0.366039E-02  0.369572E-02  0.672608       1.93671      0.819555       3.74018       3.74014               NaN
 0.49999D+01  0.9742458      0.9743327     -0.162718      -13.8736     -0.350038E-04  0.162667       13.8733     -0.209648E-03  0.710816E-01  -3.74396     -0.136098E-04 -0.710908E-01   3.74392     -0.543960E-04   27.7488     -0.348283E-01   24.5158      0.515221E-01  0.366012E-02  0.369471E-02  0.634671       2.05788      0.819014       3.73994       3.73991               NaN
 0.60001D+01  0.9742592      0.9743332     -0.916228E-01  -17.6177     -0.928598E-04  0.915934E-01   17.6175     -0.252902E-03  0.710338E-01  -3.74281     -0.200306E-04 -0.710400E-01   3.74278     -0.515093E-04   35.2357     -0.348313E-01   24.5000      0.515081E-01  0.366351E-02  0.369398E-02  0.634952       2.01117      0.818535       3.73979       3.73976               NaN
 0.70013D+01  0.9742643      0.9743276     -0.205292E-01  -21.3646     -0.118243E-03  0.204963E-01   21.3644     -0.293831E-03  0.709922E-01  -3.74207     -0.210031E-04 -0.709998E-01   3.74204     -0.500500E-04   42.7291     -0.348331E-01   24.4869      0.515086E-01  0.366519E-02  0.369271E-02  0.636033       1.88176      0.818121       3.73969       3.73967               NaN
 0.79993D+01  0.9742698      0.9743183      0.502851E-01  -25.0988     -0.134579E-03 -0.502978E-01   25.0986     -0.372089E-03  0.709589E-01  -3.74154     -0.206066E-04 -0.709640E-01   3.74152     -0.524298E-04   50.1975     -0.348344E-01   24.4760      0.515124E-01  0.366537E-02  0.369302E-02  0.633665       1.71995      0.817771       3.73962       3.73960               NaN
 0.89976D+01  0.9742746      0.9743228      0.121092      -28.8337     -0.142173E-03 -0.121102       28.8334     -0.439265E-03  0.709310E-01  -3.74115     -0.196310E-04 -0.709369E-01   3.74113     -0.535998E-04   57.6676     -0.348355E-01   24.4657      0.515032E-01  0.366700E-02  0.369422E-02  0.633544       1.67221      0.817441       3.73956       3.73955               NaN
 0.10003D+02  0.9742766      0.9743237      0.192356      -32.5935     -0.158259E-03 -0.192381       32.5932     -0.496214E-03  0.709087E-01  -3.74085     -0.187970E-04 -0.709160E-01   3.74083     -0.522623E-04   65.1878     -0.348364E-01   24.4565      0.515003E-01  0.366703E-02  0.369441E-02  0.634605       1.64763      0.817138       3.73952       3.73950               NaN
