     time             m1            m2            x1            y1            z1            x2            y2            z2           vx1           vy1           vz1           vx2           vy2           vz2    separation   semimajor_a  eccentricity    unbound_m          spin1         spin2       rstar95       rstar99        r_peri        v1_inf        v2_inf   orb._period
 0.29012D-01   1.000050       1.000050       4.97807      0.473307E-13  0.304364E-12  -4.97807     -0.324826E-12 -0.483444E-13 -0.756125      0.781126E-11  0.329468E-10  0.756125     -0.160347E-10  0.883370E-11   9.95614      -1.06099       1.00000       0.00000      0.627485E-09  0.884696E-09  0.499434      0.644191      -0.00000      0.686498      0.686498               NaN
 0.10066D+01   1.000050       1.000050       4.23354      0.247880E-09  0.587356E-09  -4.23354     -0.214212E-09 -0.384501E-10 -0.767718      0.567459E-09  0.133984E-08  0.767718     -0.486837E-09 -0.137186E-09   8.46707      -1.06099       1.00000       0.00000      0.297837E-08  0.181111E-08  0.499418      0.644321      -0.00000      0.686499      0.686499               NaN
 0.20100D+01   1.000050       1.000050       3.45518      0.137343E-08  0.336477E-08  -3.45518     -0.113175E-08 -0.198611E-09 -0.784856      0.175722E-08  0.449420E-08  0.784856     -0.149338E-08 -0.207944E-09   6.91036      -1.06099       1.00000       0.00000      0.750984E-08  0.589552E-08  0.499464      0.644273      0.471175E-15  0.686499      0.686499               NaN
 0.30094D+01   1.000050       1.000050       2.65837      0.420439E-08  0.100037E-07  -2.65837     -0.368942E-08 -0.683705E-09 -0.812020      0.435370E-08  0.881835E-08  0.812020     -0.405220E-08 -0.829049E-09   5.31675      -1.06099       1.00000       0.00000      0.166244E-07  0.138244E-07  0.499394      0.644463      0.188469E-14  0.686500      0.686500               NaN
 0.40096D+01   1.000050       1.000050       1.82374      0.121370E-07  0.202474E-07  -1.82374     -0.113229E-07 -0.201757E-08 -0.863405      0.138197E-07  0.114035E-07  0.863405     -0.134550E-07 -0.224337E-08   3.64747      -1.06097       1.00000       0.00000      0.372057E-07  0.342892E-07  0.499190      0.644698      0.683187E-14  0.686507      0.686507               NaN
 0.50000D+01   1.000046      0.9944228      0.912662      0.570841E-07  0.339484E-07 -0.912668      0.431553E-06 -0.956456E-07  -1.00967      0.893939E-07  0.270994E-07   1.00967     -0.408790E-06  0.253603E-07   1.82533      -1.05393       1.00000      0.563184E-02  0.134892E-06  0.265764E-05  0.499275      0.645436      0.234019E-13  0.683037      0.692614               NaN
 0.59999D+01   1.845608       0.000000     -0.143142E-04  0.269579E-04  0.176780E-04   0.00000       0.00000       0.00000     -0.748590E-04  0.886617E-04 -0.112814E-04   0.00000       0.00000       0.00000      0.352723E-04   0.00000      -1.00000      0.154493      0.798082E-04   0.00000      0.755666      0.912155       0.00000      0.116585E-03  0.116585E-03   0.00000    
 0.70000D+01   1.811394       0.000000      0.479901E-04  0.315714E-03  0.531235E-03   0.00000       0.00000       0.00000      0.399609E-04  0.227612E-03  0.266620E-03   0.00000       0.00000       0.00000      0.619830E-03   0.00000      -1.00000      0.188706      0.119107E-03   0.00000       1.81119       2.16788       0.00000      0.352832E-03  0.352832E-03   0.00000    
 0.80001D+01   1.811187       0.000000      0.203845E-03  0.605230E-03  0.694024E-03   0.00000       0.00000       0.00000      0.747580E-04  0.240523E-03  0.202909E-03   0.00000       0.00000       0.00000      0.943147E-03   0.00000      -1.00000      0.188914      0.938628E-04   0.00000       2.43849       3.14865       0.00000      0.323438E-03  0.323438E-03   0.00000    
 0.89999D+01   1.811166       0.000000      0.334962E-03  0.882028E-03  0.904230E-03   0.00000       0.00000       0.00000      0.804276E-04  0.244302E-03  0.189713E-03   0.00000       0.00000       0.00000      0.130683E-02   0.00000      -1.00000      0.188935      0.967174E-04   0.00000       2.77993       3.98300       0.00000      0.319598E-03  0.319598E-03   0.00000    
