     time             m1            m2            x1            y1            z1            x2            y2            z2           vx1           vy1           vz1           vx2           vy2           vz2    separation   semimajor_a  eccentricity    unbound_m          spin1         spin2       rstar95       rstar99        r_peri        v1_inf        v2_inf   orb._period
 0.29024D-01   1.000050       1.000050       1.53142       4.71367      0.280242E-12  -1.53142      -4.71367     -0.571176E-13 -0.549332      -1.40818      0.212051E-10  0.549332       1.40818     -0.270938E-11   9.91241     -0.228965       2.74699       0.00000      0.704898E-09  0.108801E-08  0.499433      0.644191      0.400000       1.47779       1.47779               NaN
 0.10062D+01   1.000050       1.000050      0.992782       3.33180      0.506981E-09 -0.992782      -3.33180     -0.134805E-09 -0.553545      -1.42171      0.121013E-08  0.553545       1.42171     -0.374035E-09   6.95312     -0.228965       2.74699       0.00000      0.332226E-08  0.295395E-08  0.499506      0.644245      0.400000       1.47779       1.47779               NaN
 0.20083D+01   1.000050       1.000050      0.434082       1.89268      0.319143E-08 -0.434082      -1.89268     -0.148338E-08 -0.562981      -1.45754      0.499254E-08  0.562981       1.45754     -0.335664E-08   3.88364     -0.228963       2.74700       0.00000      0.525699E-07  0.534191E-07  0.499256      0.644709      0.399999       1.47779       1.47779               NaN
 0.29999D+01  0.9845856      0.5781891     -0.133325      0.373842      0.499794E-05  0.131101     -0.365457      0.455431E-03 -0.547948      -1.75630     -0.698710E-05  0.543207       1.78306     -0.709235E-04  0.785165     -0.160499       3.62030      0.437326      0.462114E-03  0.337459E-04  0.476621      0.615478      0.420556       1.56615       1.59797               NaN
 0.39996D+01  0.9215682      0.8522108     -0.237854      -1.17288     -0.232780E-03  0.232028       1.19639      0.161784E-03  0.913928E-01  -1.31741     -0.196484E-03 -0.107374       1.34218      0.177932E-03   2.41541     -0.314266       2.51217      0.226321      0.206028E-01  0.133093E-01  0.969223       1.16965      0.475223       1.17629       1.19978               NaN
 0.50005D+01  0.9187474      0.8963521     -0.139576      -2.43974     -0.151439E-03  0.132035       2.45769      0.526970E-03  0.100367      -1.22899     -0.659800E-04 -0.105221       1.23634      0.221444E-03   4.90495     -0.337379       2.36422      0.185001      0.216936E-01  0.184096E-01   1.56417       2.01397      0.460259       1.15541       1.16410               NaN
 0.59995D+01  0.9183444      0.9113360     -0.397950E-01  -3.65131     -0.335311E-03  0.350091E-01   3.65887      0.413160E-03  0.100024      -1.19867     -0.771012E-04 -0.101622       1.20062      0.131020E-03   7.31057     -0.345439       2.30781      0.170420      0.219901E-01  0.209590E-01   1.87011       2.71566      0.451770       1.14940       1.15205               NaN
 0.69994D+01  0.9180920      0.9174852      0.595822E-01  -4.84257     -0.176938E-03 -0.601530E-01   4.84187      0.589465E-03  0.992645E-01  -1.18323     -0.386413E-04 -0.993909E-01   1.18307      0.139777E-03   9.68518     -0.348983       2.28066      0.164523      0.221018E-01  0.220658E-01   1.96020       3.31532      0.446929       1.14674       1.14668               NaN
 0.79993D+01  0.9178716      0.9183094      0.158237      -6.02147     -0.292016E-03 -0.158625       6.01988      0.580084E-03  0.985951E-01  -1.17380     -0.439733E-04 -0.986150E-01   1.17352      0.114473E-03   12.0455     -0.350154       2.26648      0.163920      0.221049E-01  0.221961E-01   1.92837       3.84010      0.443464       1.14511       1.14485               NaN
 0.89992D+01  0.9178497      0.9181748      0.256641      -7.19183     -0.332810E-03 -0.256702       7.19052      0.707154E-03  0.980796E-01  -1.16730     -0.378022E-04 -0.980591E-01   1.16711      0.114270E-03   14.3915     -0.350871       2.25541      0.164076      0.221434E-01  0.221732E-01   1.77007       4.31985      0.440485       1.14386       1.14366               NaN
 0.10000D+02  0.9178091      0.9182167      0.354619      -8.35799     -0.390535E-03 -0.354581       8.35634      0.745896E-03  0.976515E-01  -1.16261     -0.341280E-04 -0.976194E-01   1.16243      0.110427E-03   16.7294     -0.351428       2.24540      0.164075      0.221511E-01  0.222017E-01   1.62032       4.73487      0.437668       1.14296       1.14275               NaN
 0.10999D+02  0.9178368      0.9182230      0.451959      -9.51731     -0.451708E-03 -0.451896       9.51516      0.913950E-03  0.972966E-01  -1.15907     -0.371770E-04 -0.972654E-01   1.15887      0.115541E-03   19.0539     -0.351872       2.23647      0.164041      0.221676E-01  0.222302E-01   1.54059       5.11437      0.435078       1.14226       1.14203               NaN
 0.11996D+02  0.9178166      0.9180562      0.548784      -10.6717     -0.438027E-03 -0.548647       10.6704      0.111428E-02  0.969958E-01  -1.15627     -0.320006E-04 -0.969658E-01   1.15616      0.120304E-03   21.3703     -0.352162       2.22903      0.164228      0.221752E-01  0.222176E-01   1.49562       5.47347      0.432819       1.14168       1.14155               NaN
 0.12999D+02  0.9178326      0.9180474      0.645862      -11.8305     -0.455315E-03 -0.645810       11.8293      0.128641E-02  0.967351E-01  -1.15400     -0.296265E-04 -0.967160E-01   1.15391      0.122025E-03   23.6950     -0.352449       2.22178      0.164221      0.221771E-01  0.222293E-01   1.49230       5.81561      0.430615       1.14121       1.14110               NaN
 0.13996D+02  0.9177689      0.9180216      0.742137      -12.9805     -0.432526E-03 -0.742192       12.9787      0.147930E-02  0.965196E-01  -1.15218     -0.244517E-04 -0.965033E-01   1.15206      0.126851E-03   26.0016     -0.352659       2.21524      0.164310      0.221627E-01  0.222222E-01   1.50635       6.12350      0.428567       1.14085       1.14072               NaN
 0.15000D+02  0.9177652      0.9180111      0.839073      -14.1361     -0.371755E-03 -0.838989       14.1341      0.159721E-02  0.963422E-01  -1.15062     -0.170570E-04 -0.963189E-01   1.15050      0.126001E-03   28.3200     -0.352857       2.20886      0.164324      0.221557E-01  0.222282E-01   1.49864       6.42421      0.426554       1.14053       1.14039               NaN
 0.15999D+02  0.9177612      0.9180182      0.935179      -15.2855     -0.323378E-03 -0.935134       15.2835      0.169705E-02  0.961739E-01  -1.14929     -0.129321E-04 -0.961524E-01   1.14917      0.124146E-03   30.6261     -0.353033       2.20313      0.164321      0.221618E-01  0.222294E-01   1.50042       6.69044      0.424744       1.14024       1.14011               NaN
 0.16997D+02  0.9177653      0.9180177       1.03100      -16.4311     -0.336426E-03  -1.03096       16.4290      0.182028E-02  0.960285E-01  -1.14814     -0.129510E-04 -0.960086E-01   1.14803      0.124006E-03   32.9247     -0.353185       2.19763      0.164318      0.221641E-01  0.222305E-01   1.48611       6.92310      0.422984       1.14000       1.13987               NaN
 0.18004D+02  0.9177671      0.9180030       1.12763      -17.5870     -0.341960E-03  -1.12762       17.5849      0.191744E-02  0.959000E-01  -1.14714     -0.128215E-04 -0.958822E-01   1.14704      0.122415E-03   35.2441     -0.353314       2.19249      0.164330      0.221665E-01  0.222346E-01   1.49177       7.15541      0.421323       1.13978       1.13966               NaN
 0.19001D+02  0.9177682      0.9180048       1.22321      -18.7307     -0.344908E-03  -1.22321       18.7286      0.203225E-02  0.957840E-01  -1.14626     -0.116911E-04 -0.957678E-01   1.14617      0.121990E-03   37.5392     -0.353432       2.18753      0.164328      0.221680E-01  0.222364E-01   1.50037       7.35397      0.419712       1.13959       1.13948               NaN
 0.19999D+02  0.9177427      0.9180048       1.31883      -19.8747     -0.330816E-03  -1.31874       19.8722      0.215390E-02  0.956841E-01  -1.14550     -0.101987E-04 -0.956644E-01   1.14539      0.122065E-03   39.8343     -0.353529       2.18284      0.164353      0.221673E-01  0.222369E-01   1.50389       7.52676      0.418169       1.13943       1.13931               NaN
 0.21001D+02  0.9177439      0.9179721       1.41463      -21.0220     -0.335348E-03  -1.41428       21.0197      0.223473E-02  0.955903E-01  -1.14480     -0.933713E-05 -0.955616E-01   1.14471      0.120582E-03   42.1368     -0.353614       2.17868      0.164384      0.221687E-01  0.222151E-01   1.50827       7.70029      0.416798       1.13928       1.13917               NaN
 0.22001D+02  0.9177468      0.9179754       1.51012      -22.1661     -0.325970E-03  -1.50973       22.1637      0.236747E-02  0.955043E-01  -1.14418     -0.849212E-05 -0.954753E-01   1.14409      0.120580E-03   44.4326     -0.353701       2.17444      0.164378      0.221714E-01  0.222163E-01   1.50512       7.85516      0.415399       1.13914       1.13903               NaN
 0.22996D+02  0.9177470      0.9179750       1.60511      -23.3044     -0.334359E-03  -1.60469       23.3018      0.248770E-02  0.954264E-01  -1.14362     -0.827512E-05 -0.953976E-01   1.14353      0.121256E-03   46.7166     -0.353778       2.17030      0.164379      0.221729E-01  0.222166E-01   1.49194       8.00979      0.414026       1.13901       1.13890               NaN
 0.24005D+02  0.9177471      0.9179756       1.70135      -24.4580     -0.343341E-03  -1.70090       24.4554      0.260316E-02  0.953542E-01  -1.14311     -0.827869E-05 -0.953253E-01   1.14302      0.121110E-03   49.0316     -0.353850       2.16630      0.164378      0.221732E-01  0.222183E-01   1.48507       8.14222      0.412695       1.13890       1.13879               NaN
 0.24995D+02  0.9177468      0.9179769       1.79571      -25.5894     -0.349818E-03  -1.79522       25.5867      0.271440E-02  0.952888E-01  -1.14264     -0.829718E-05 -0.952594E-01   1.14256      0.120559E-03   51.3019     -0.353915       2.16249      0.164377      0.221723E-01  0.222181E-01   1.48285       8.28043      0.411422       1.13879       1.13868               NaN
 0.26004D+02  0.9177678      0.9179591       1.89192      -26.7424     -0.470630E-03  -1.89137       26.7396      0.275680E-02  0.952297E-01  -1.14222     -0.123253E-04 -0.951990E-01   1.14214      0.118855E-03   53.6156     -0.353972       2.15866      0.164374      0.221759E-01  0.222188E-01   1.48170       8.39718      0.410133       1.13870       1.13860               NaN
 0.26997D+02  0.9177690      0.9178803       1.98639      -27.8758     -0.487892E-03  -1.98568       27.8740      0.298303E-02  0.951734E-01  -1.14183     -0.123934E-04 -0.951403E-01   1.14178      0.122283E-03   55.8912     -0.354002       2.15550      0.164451      0.221755E-01  0.221976E-01   1.49099       8.49951      0.409049       1.13861       1.13854               NaN
 0.28002D+02  0.9177520      0.9178456       2.08205      -29.0231     -0.642919E-03  -2.08126       29.0219      0.323734E-02  0.951215E-01  -1.14146     -0.171143E-04 -0.950879E-01   1.14143      0.124845E-03   58.1941     -0.354041       2.15215      0.164503      0.221728E-01  0.221849E-01   1.49430       8.57479      0.407909       1.13852       1.13847               NaN
 0.28998D+02  0.9177498      0.9178466       2.17685      -30.1606     -0.659733E-03  -2.17599       30.1594      0.335623E-02  0.950718E-01  -1.14113     -0.164136E-04 -0.950384E-01   1.14110      0.124683E-03   60.4769     -0.354088       2.14872      0.164504      0.221748E-01  0.221849E-01   1.49331       8.64754      0.406750       1.13845       1.13839               NaN
 0.29996D+02  0.9177559      0.9178451       2.27159      -31.2989     -0.700397E-03  -2.27077       31.2976      0.348093E-02  0.950242E-01  -1.14082     -0.168547E-04 -0.949920E-01   1.14079      0.124357E-03   62.7610     -0.354134       2.14551      0.164499      0.221758E-01  0.221851E-01   1.48739       8.71082      0.405665       1.13837       1.13832               NaN
 0.31000D+02  0.9177475      0.9178344       2.36696      -32.4447     -0.620710E-03  -2.36622       32.4435      0.366208E-02  0.949795E-01  -1.14053     -0.143402E-04 -0.949498E-01   1.14050      0.124995E-03   65.0606     -0.354171       2.14232      0.164519      0.221721E-01  0.221861E-01   1.47623       8.75126      0.404578       1.13831       1.13826               NaN
 0.32005D+02  0.9176940      0.9178300       2.46233      -33.5916     -0.453044E-03  -2.46164       33.5895      0.378321E-02  0.949398E-01  -1.14028     -0.107613E-04 -0.949093E-01   1.14023      0.123500E-03   67.3613     -0.354193       2.13956      0.164577      0.221429E-01  0.221848E-01   1.48034       8.72836      0.403623       1.13827       1.13820               NaN
 0.33003D+02  0.9176913      0.9178305       2.55704      -34.7291     -0.462831E-03  -2.55631       34.7270      0.390687E-02  0.949020E-01  -1.14003     -0.108348E-04 -0.948720E-01   1.13998      0.123765E-03   69.6441     -0.354229       2.13659      0.164579      0.221445E-01  0.221861E-01   1.48688       8.74720      0.402614       1.13821       1.13814               NaN
 0.34003D+02  0.9176935      0.9178349       2.65188      -35.8686     -0.473511E-03  -2.65111       35.8664      0.403725E-02  0.948655E-01  -1.13979     -0.105600E-04 -0.948355E-01   1.13974      0.124920E-03   71.9308     -0.354265       2.13361      0.164572      0.221452E-01  0.221868E-01   1.48873       8.75440      0.401599       1.13815       1.13808               NaN
 0.35006D+02  0.9176938      0.9178400       2.74704      -37.0121     -0.485853E-03  -2.74619       37.0097      0.419822E-02  0.948316E-01  -1.13957     -0.106323E-04 -0.947999E-01   1.13952      0.125714E-03   74.2253     -0.354300       2.13075      0.164567      0.221460E-01  0.221852E-01   1.48416       8.77762      0.400624       1.13810       1.13803               NaN
 0.35995D+02  0.9176938      0.9178411       2.84083      -38.1392     -0.496379E-03  -2.83995       38.1368      0.432277E-02  0.947998E-01  -1.13936     -0.106624E-04 -0.947682E-01   1.13931      0.125880E-03   76.4873     -0.354330       2.12797      0.164566      0.221460E-01  0.221843E-01   1.48709       8.76312      0.399674       1.13805       1.13798               NaN
 0.36995D+02  0.9176938      0.9178411       2.93563      -39.2786     -0.507068E-03  -2.93472       39.2762      0.444866E-02  0.947690E-01  -1.13916     -0.106420E-04 -0.947378E-01   1.13912      0.125847E-03   78.7739     -0.354360       2.12521      0.164566      0.221463E-01  0.221848E-01   1.48390       8.75078      0.398728       1.13800       1.13793               NaN
 0.38005D+02  0.9176935      0.9178411       3.03127      -40.4283     -0.518227E-03  -3.03032       40.4258      0.457562E-02  0.947395E-01  -1.13898     -0.100880E-04 -0.947088E-01   1.13893      0.125716E-03   81.0810     -0.354388       2.12250      0.164566      0.221460E-01  0.221858E-01   1.48276       8.72560      0.397800       1.13796       1.13789               NaN
 0.39006D+02  0.9176935      0.9178411       3.12612      -41.5687     -0.528220E-03  -3.12515       41.5662      0.470144E-02  0.947115E-01  -1.13880     -0.999399E-05 -0.946812E-01   1.13875      0.125599E-03   83.3696     -0.354414       2.11982      0.164566      0.221450E-01  0.221864E-01   1.47993       8.67760      0.396881       1.13791       1.13784               NaN
 0.40003D+02  0.9176935      0.9178414       3.22058      -42.7046     -0.538270E-03  -3.21958       42.7020      0.482751E-02  0.946851E-01  -1.13863     -0.100725E-04 -0.946547E-01   1.13858      0.125514E-03   85.6491     -0.354439       2.11721      0.164566      0.221435E-01  0.221850E-01   1.48440       8.62470      0.395983       1.13787       1.13780               NaN
 0.41001D+02  0.9176935      0.9178361       3.31500      -43.8401     -0.548236E-03  -3.31397       43.8375      0.495715E-02  0.946603E-01  -1.13847     -0.996145E-05 -0.946311E-01   1.13842      0.127066E-03   87.9278     -0.354462       2.11483      0.164571      0.221428E-01  0.221805E-01   1.48238       8.56259      0.395166       1.13783       1.13776               NaN
 0.42000D+02  0.9176935      0.9178500       3.40957      -44.9776     -0.558265E-03  -3.40846       44.9748      0.534295E-02  0.946367E-01  -1.13832     -0.101007E-04 -0.946050E-01   1.13827      0.131829E-03   90.2104     -0.354488       2.11228      0.164557      0.221431E-01  0.221851E-01   1.48832       8.49173      0.394291       1.13780       1.13773               NaN
 0.43006D+02  0.9176935      0.9178500       3.50481      -46.1232     -0.568341E-03  -3.50367       46.1205      0.547620E-02  0.946136E-01  -1.13818     -0.982927E-05 -0.945829E-01   1.13813      0.132545E-03   92.5096     -0.354510       2.10991      0.164557      0.221432E-01  0.221835E-01   1.48607       8.45953      0.393475       1.13776       1.13769               NaN
