     time             m1            m2            x1            y1            z1            x2            y2            z2           vx1           vy1           vz1           vx2           vy2           vz2    separation   semimajor_a  eccentricity    unbound_m          spin1         spin2       rstar95       rstar99        r_peri        v1_inf        v2_inf   orb._period
 0.29068D-01   1.000050       1.000050       3.26993       3.75356      0.291455E-12  -3.26993      -3.75356     -0.263830E-14 -0.546800     -0.522240      0.242502E-10  0.546800      0.522240     -0.374267E-11   9.95623      -1.06099       1.37701       0.00000      0.584863E-09  0.654835E-09  0.499434      0.644192      0.400000      0.686498      0.686498               NaN
 0.30126D+01   1.000050       1.000050       1.59628       2.14463      0.823833E-08  -1.59628      -2.14463     -0.180220E-08 -0.581735     -0.565595      0.748178E-08  0.581735      0.565595     -0.208103E-08   5.34697      -1.06099       1.37701       0.00000      0.112680E-07  0.791274E-08  0.499372      0.644450      0.400000      0.686500      0.686500               NaN
 0.60001D+01  0.9814267       0.000000     -0.263344     -0.904594E-01  0.271633E-04   0.00000       0.00000       0.00000     -0.137847      -1.25670      0.688810E-05   0.00000       0.00000       0.00000      0.278447       0.00000      -1.00000       1.01867      0.245251E-01   0.00000      0.454028      0.613953       0.00000       1.26424       1.26424       0.00000    
 0.89996D+01  0.9933952       0.000000      0.447003      -1.86590     -0.209520E-03   0.00000       0.00000       0.00000      0.236429     -0.370015     -0.254460E-04   0.00000       0.00000       0.00000       1.91870       0.00000      -1.00000       1.00671      0.585512E-01   0.00000       1.65320       2.81453       0.00000      0.439101      0.439101       0.00000    
 0.12000D+02  0.9871452       0.000000       1.10154      -2.79916     -0.245340E-03   0.00000       0.00000       0.00000      0.201061     -0.259379     -0.149314E-04   0.00000       0.00000       0.00000       3.00810       0.00000      -1.00000       1.01296      0.573980E-01   0.00000       1.30274       4.20122       0.00000      0.328181      0.328181       0.00000    
 0.14999D+02  0.9830717       0.000000       1.67486      -3.50560     -0.862722E-04   0.00000       0.00000       0.00000      0.177151     -0.204989     -0.316877E-04   0.00000       0.00000       0.00000       3.88515       0.00000      -1.00000       1.01703      0.571804E-01   0.00000       1.19343       4.75933       0.00000      0.270930      0.270930       0.00000    
 0.18001D+02  0.9818851       0.000000       2.18068      -4.06938     -0.433120E-03   0.00000       0.00000       0.00000      0.159124     -0.169639     -0.232183E-04   0.00000       0.00000       0.00000       4.61684       0.00000      -1.00000       1.01822      0.569133E-01   0.00000       1.18061       5.21611       0.00000      0.232589      0.232589       0.00000    
 0.21002D+02  0.9812502       0.000000       2.63646      -4.54035     -0.462658E-03   0.00000       0.00000       0.00000      0.144575     -0.143828     -0.173116E-04   0.00000       0.00000       0.00000       5.25030       0.00000      -1.00000       1.01885      0.571500E-01   0.00000       1.16811       5.35774       0.00000      0.203933      0.203933       0.00000    
 0.24003D+02  0.9811402       0.000000       3.05054      -4.93968     -0.220453E-03   0.00000       0.00000       0.00000      0.132331     -0.123572     -0.137227E-04   0.00000       0.00000       0.00000       5.80571       0.00000      -1.00000       1.01896      0.574326E-01   0.00000       1.16620       5.46067       0.00000      0.181056      0.181056       0.00000    
 0.27001D+02  0.9812508       0.000000       3.42892      -5.28205     -0.577487E-03   0.00000       0.00000       0.00000      0.121681     -0.106868     -0.124231E-04   0.00000       0.00000       0.00000       6.29742       0.00000      -1.00000       1.01885      0.574372E-01   0.00000       1.16814       5.57921       0.00000      0.161948      0.161948       0.00000    
 0.29998D+02  0.9810752       0.000000       3.77928      -5.57992     -0.775744E-03   0.00000       0.00000       0.00000      0.112206     -0.926918E-01 -0.199597E-04   0.00000       0.00000       0.00000       6.73933       0.00000      -1.00000       1.01903      0.576786E-01   0.00000       1.17194       5.32983       0.00000      0.145540      0.145540       0.00000    
 0.33000D+02  0.9809162       0.000000       4.10301      -5.83933     -0.723153E-03   0.00000       0.00000       0.00000      0.103647     -0.803564E-01 -0.195830E-04   0.00000       0.00000       0.00000       7.13670       0.00000      -1.00000       1.01918      0.577700E-01   0.00000       1.17776       5.08979       0.00000      0.131148      0.131148       0.00000    
 0.35999D+02  0.9810423       0.000000       4.39998      -6.06044     -0.748571E-03   0.00000       0.00000       0.00000      0.957439E-01 -0.693362E-01 -0.113243E-04   0.00000       0.00000       0.00000       7.48924       0.00000      -1.00000       1.01906      0.578830E-01   0.00000       1.17697       5.09726       0.00000      0.118213      0.118213       0.00000    
