     time             m1            m2            x1            y1            z1            x2            y2            z2           vx1           vy1           vz1           vx2           vy2           vz2    separation   semimajor_a  eccentricity    unbound_m          spin1         spin2       rstar95       rstar99        r_peri        v1_inf        v2_inf   orb._period
 0.58849D-02   1.000050       1.000050       4.99366      0.196969E-14  0.125182E-13  -4.99366     -0.133510E-13 -0.199870E-14  -1.07727      0.101034E-11  0.456613E-11   1.07727     -0.323949E-11 -0.449951E-12   9.98732     -0.471555       1.00000       0.00000      0.719379E-09  0.706684E-09  0.499433      0.644191      -0.00000       1.02975       1.02975               NaN
 0.20009D+01   1.000050       1.000050       2.81592      0.144068E-08  0.427880E-08  -2.81592     -0.174776E-08 -0.120456E-09  -1.11263      0.234402E-08  0.574198E-08   1.11263     -0.255335E-08 -0.333472E-09   5.63184     -0.471555       1.00000       0.00000      0.857564E-08  0.966480E-08  0.499411      0.644369      0.732943E-15   1.02975       1.02975               NaN
 0.40001D+01  0.9895116      0.6642493      0.428351     -0.131067E-05  0.194920E-04 -0.422514     -0.924880E-05  0.251674E-04  -1.48150     -0.754469E-05 -0.537972E-05   1.49961     -0.178948E-05 -0.694645E-05  0.850865     -0.330767       1.00000      0.346340      0.191368E-04  0.965339E-05  0.480526      0.617535      0.179936E-09  0.614008       1.62201               NaN
 0.59997D+01   1.718776       0.000000      0.396741E-03 -0.580631E-03  0.100210E-02   0.00000       0.00000       0.00000      0.199846E-03 -0.124657E-03  0.440743E-03   0.00000       0.00000       0.00000      0.122423E-02   0.00000      -1.00000      0.281324      0.666208E-04   0.00000       2.24853       2.63001       0.00000      0.499732E-03  0.499732E-03   0.00000    
 0.79999D+01   1.718606       0.000000      0.688746E-03 -0.580380E-03  0.199998E-02   0.00000       0.00000       0.00000      0.159261E-03 -0.182935E-04  0.449725E-03   0.00000       0.00000       0.00000      0.219343E-02   0.00000      -1.00000      0.281494      0.955317E-04   0.00000       3.28934       4.35095       0.00000      0.477442E-03  0.477442E-03   0.00000    
 0.10000D+02   1.718700       0.000000      0.753792E-03 -0.348664E-03  0.308409E-02   0.00000       0.00000       0.00000      0.118094E-03  0.399219E-04  0.465692E-03   0.00000       0.00000       0.00000      0.319396E-02   0.00000      -1.00000      0.281401      0.105306E-03   0.00000       3.72521       5.71025       0.00000      0.482088E-03  0.482088E-03   0.00000    
 0.12000D+02   1.718556       0.000000      0.104588E-02 -0.455931E-03  0.421790E-02   0.00000       0.00000       0.00000      0.117577E-03  0.358878E-04  0.477492E-03   0.00000       0.00000       0.00000      0.436948E-02   0.00000      -1.00000      0.281545      0.115911E-03   0.00000       3.69385       6.86898       0.00000      0.493063E-03  0.493063E-03   0.00000    
 0.14000D+02   1.718567       0.000000      0.121018E-02 -0.336375E-03  0.514906E-02   0.00000       0.00000       0.00000      0.110431E-03  0.479725E-04  0.471959E-03   0.00000       0.00000       0.00000      0.530005E-02   0.00000      -1.00000      0.281533      0.117122E-03   0.00000       3.20013       7.88261       0.00000      0.487074E-03  0.487074E-03   0.00000    
 0.16000D+02   1.718606       0.000000      0.146442E-02  0.214798E-03  0.601722E-02   0.00000       0.00000       0.00000      0.111381E-03  0.816370E-04  0.464943E-03   0.00000       0.00000       0.00000      0.619658E-02   0.00000      -1.00000      0.281494      0.114754E-03   0.00000       2.78249       8.78738       0.00000      0.485018E-03  0.485018E-03   0.00000    
 0.18000D+02   1.718622       0.000000      0.163418E-02  0.292244E-03  0.692359E-02   0.00000       0.00000       0.00000      0.106562E-03  0.810391E-04  0.462156E-03   0.00000       0.00000       0.00000      0.711984E-02   0.00000      -1.00000      0.281479      0.114285E-03   0.00000       2.74356       9.59766       0.00000      0.481156E-03  0.481156E-03   0.00000    
 0.20000D+02   1.718652       0.000000      0.204582E-02  0.495056E-03  0.786731E-02   0.00000       0.00000       0.00000      0.113860E-03  0.853664E-04  0.460309E-03   0.00000       0.00000       0.00000      0.814402E-02   0.00000      -1.00000      0.281449      0.114316E-03   0.00000       2.69429       10.3305       0.00000      0.481805E-03  0.481805E-03   0.00000    
 0.22000D+02   1.718648       0.000000      0.234055E-02  0.664103E-03  0.881921E-02   0.00000       0.00000       0.00000      0.114744E-03  0.878711E-04  0.459601E-03   0.00000       0.00000       0.00000      0.914865E-02   0.00000      -1.00000      0.281452      0.115329E-03   0.00000       2.68347       11.0105       0.00000      0.481789E-03  0.481789E-03   0.00000    
 0.24000D+02   1.718679       0.000000      0.238722E-02  0.877178E-03  0.985777E-02   0.00000       0.00000       0.00000      0.107702E-03  0.905274E-04  0.462489E-03   0.00000       0.00000       0.00000      0.101806E-01   0.00000      -1.00000      0.281421      0.116624E-03   0.00000       2.66685       11.6406       0.00000      0.483416E-03  0.483416E-03   0.00000    
 0.26000D+02   1.718678       0.000000      0.262160E-02  0.106790E-02  0.107280E-01   0.00000       0.00000       0.00000      0.108073E-03  0.930073E-04  0.460109E-03   0.00000       0.00000       0.00000      0.110952E-01   0.00000      -1.00000      0.281423      0.111001E-03   0.00000       2.65700       12.1988       0.00000      0.481695E-03  0.481695E-03   0.00000    
 0.28000D+02   1.718674       0.000000      0.283397E-02  0.125526E-02  0.116480E-01   0.00000       0.00000       0.00000      0.106472E-03  0.948208E-04  0.459307E-03   0.00000       0.00000       0.00000      0.120534E-01   0.00000      -1.00000      0.281427      0.111905E-03   0.00000       2.66177       12.7290       0.00000      0.480926E-03  0.480926E-03   0.00000    
 0.30000D+02   1.718666       0.000000      0.308305E-02  0.148600E-02  0.125787E-01   0.00000       0.00000       0.00000      0.107550E-03  0.972028E-04  0.458739E-03   0.00000       0.00000       0.00000      0.130360E-01   0.00000      -1.00000      0.281434      0.112267E-03   0.00000       2.66224       13.2164       0.00000      0.481100E-03  0.481100E-03   0.00000    
 0.32000D+02   1.718691       0.000000      0.308659E-02  0.179640E-02  0.134677E-01   0.00000       0.00000       0.00000      0.100678E-03  0.100705E-03  0.457109E-03   0.00000       0.00000       0.00000      0.139331E-01   0.00000      -1.00000      0.281410      0.113073E-03   0.00000       2.66033       13.6676       0.00000      0.478776E-03  0.478776E-03   0.00000    
 0.34000D+02   1.718691       0.000000      0.328751E-02  0.199346E-02  0.143805E-01   0.00000       0.00000       0.00000      0.100357E-03  0.101380E-03  0.455745E-03   0.00000       0.00000       0.00000      0.148856E-01   0.00000      -1.00000      0.281410      0.108668E-03   0.00000       2.65728       14.0795       0.00000      0.477549E-03  0.477549E-03   0.00000    
 0.36000D+02   1.718690       0.000000      0.349309E-02  0.219401E-02  0.152871E-01   0.00000       0.00000       0.00000      0.100392E-03  0.100784E-03  0.456327E-03   0.00000       0.00000       0.00000      0.158339E-01   0.00000      -1.00000      0.281410      0.111700E-03   0.00000       2.65589       14.4464       0.00000      0.477986E-03  0.477986E-03   0.00000    
 0.38000D+02   1.718692       0.000000      0.365658E-02  0.242672E-02  0.161813E-01   0.00000       0.00000       0.00000      0.997660E-04  0.103038E-03  0.455169E-03   0.00000       0.00000       0.00000      0.167659E-01   0.00000      -1.00000      0.281409      0.113891E-03   0.00000       2.65254       14.7876       0.00000      0.477230E-03  0.477230E-03   0.00000    
 0.40000D+02   1.718700       0.000000      0.380611E-02  0.258177E-02  0.170782E-01   0.00000       0.00000       0.00000      0.988879E-04  0.102674E-03  0.454154E-03   0.00000       0.00000       0.00000      0.176867E-01   0.00000      -1.00000      0.281401      0.109528E-03   0.00000       2.64047       15.0913       0.00000      0.476001E-03  0.476001E-03   0.00000    
 0.42000D+02   1.718699       0.000000      0.400362E-02  0.278757E-02  0.179869E-01   0.00000       0.00000       0.00000      0.979974E-04  0.102428E-03  0.453734E-03   0.00000       0.00000       0.00000      0.186367E-01   0.00000      -1.00000      0.281402      0.109922E-03   0.00000       2.64458       15.3639       0.00000      0.475363E-03  0.475363E-03   0.00000    
 0.44000D+02   1.718701       0.000000      0.419543E-02  0.300288E-02  0.188899E-01   0.00000       0.00000       0.00000      0.971060E-04  0.103851E-03  0.452117E-03   0.00000       0.00000       0.00000      0.195818E-01   0.00000      -1.00000      0.281400      0.101198E-03   0.00000       2.63356       15.6161       0.00000      0.473945E-03  0.473945E-03   0.00000    
 0.46000D+02   1.718703       0.000000      0.439106E-02  0.320635E-02  0.197984E-01   0.00000       0.00000       0.00000      0.966565E-04  0.103821E-03  0.452631E-03   0.00000       0.00000       0.00000      0.205314E-01   0.00000      -1.00000      0.281397      0.107936E-03   0.00000       2.62833       15.8496       0.00000      0.474338E-03  0.474338E-03   0.00000    
 0.48000D+02   1.718703       0.000000      0.463942E-02  0.341862E-02  0.206543E-01   0.00000       0.00000       0.00000      0.974447E-04  0.104443E-03  0.450658E-03   0.00000       0.00000       0.00000      0.214433E-01   0.00000      -1.00000      0.281397      0.115309E-03   0.00000       2.62565       16.0470       0.00000      0.472754E-03  0.472754E-03   0.00000    
 0.50000D+02   1.718702       0.000000      0.482892E-02  0.363033E-02  0.215490E-01   0.00000       0.00000       0.00000      0.964587E-04  0.105176E-03  0.449518E-03   0.00000       0.00000       0.00000      0.223799E-01   0.00000      -1.00000      0.281399      0.112478E-03   0.00000       2.61905       16.2159       0.00000      0.471628E-03  0.471628E-03   0.00000    
 0.52000D+02   1.718702       0.000000      0.502123E-02  0.384157E-02  0.224487E-01   0.00000       0.00000       0.00000      0.957851E-04  0.105598E-03  0.449921E-03   0.00000       0.00000       0.00000      0.233219E-01   0.00000      -1.00000      0.281399      0.102996E-03   0.00000       2.61413       16.3569       0.00000      0.471969E-03  0.471969E-03   0.00000    
 0.54000D+02   1.718702       0.000000      0.521320E-02  0.405278E-02  0.233509E-01   0.00000       0.00000       0.00000      0.959323E-04  0.105550E-03  0.449934E-03   0.00000       0.00000       0.00000      0.242666E-01   0.00000      -1.00000      0.281399      0.964896E-04   0.00000       2.61704       16.4757       0.00000      0.472001E-03  0.472001E-03   0.00000    
 0.56000D+02   1.718705       0.000000      0.540892E-02  0.426777E-02  0.242414E-01   0.00000       0.00000       0.00000      0.952337E-04  0.105378E-03  0.448808E-03   0.00000       0.00000       0.00000      0.252015E-01   0.00000      -1.00000      0.281395      0.951965E-04   0.00000       2.62350       16.5679       0.00000      0.470747E-03  0.470747E-03   0.00000    
 0.58000D+02   1.718705       0.000000      0.559890E-02  0.447771E-02  0.251390E-01   0.00000       0.00000       0.00000      0.947082E-04  0.104477E-03  0.448806E-03   0.00000       0.00000       0.00000      0.261413E-01   0.00000      -1.00000      0.281395      0.941614E-04   0.00000       2.62304       16.6341       0.00000      0.470438E-03  0.470438E-03   0.00000    
 0.60000D+02   1.718705       0.000000      0.578804E-02  0.468742E-02  0.260365E-01   0.00000       0.00000       0.00000      0.947460E-04  0.105139E-03  0.449775E-03   0.00000       0.00000       0.00000      0.270808E-01   0.00000      -1.00000      0.281395      0.961432E-04   0.00000       2.62994       16.6774       0.00000      0.471518E-03  0.471518E-03   0.00000    
 0.62000D+02   1.718705       0.000000      0.597788E-02  0.489807E-02  0.269357E-01   0.00000       0.00000       0.00000      0.951825E-04  0.105531E-03  0.449343E-03   0.00000       0.00000       0.00000      0.280225E-01   0.00000      -1.00000      0.281395      0.102930E-03   0.00000       2.63036       16.6983       0.00000      0.471281E-03  0.471281E-03   0.00000    
 0.64000D+02   1.718705       0.000000      0.616800E-02  0.511046E-02  0.278332E-01   0.00000       0.00000       0.00000      0.950452E-04  0.105906E-03  0.448355E-03   0.00000       0.00000       0.00000      0.289629E-01   0.00000      -1.00000      0.281395      0.102918E-03   0.00000       2.62725       16.6916       0.00000      0.470396E-03  0.470396E-03   0.00000    
 0.66000D+02   1.718703       0.000000      0.635789E-02  0.532085E-02  0.287297E-01   0.00000       0.00000       0.00000      0.947569E-04  0.106224E-03  0.447756E-03   0.00000       0.00000       0.00000      0.299020E-01   0.00000      -1.00000      0.281397      0.982461E-04   0.00000       2.62990       16.6632       0.00000      0.469838E-03  0.469838E-03   0.00000    
 0.68000D+02   1.718705       0.000000      0.655083E-02  0.554126E-02  0.296300E-01   0.00000       0.00000       0.00000      0.945424E-04  0.106102E-03  0.447763E-03   0.00000       0.00000       0.00000      0.308473E-01   0.00000      -1.00000      0.281396      0.100491E-03   0.00000       2.62954       16.6138       0.00000      0.469774E-03  0.469774E-03   0.00000    
 0.70000D+02   1.718706       0.000000      0.674011E-02  0.575371E-02  0.305257E-01   0.00000       0.00000       0.00000      0.947834E-04  0.106123E-03  0.447819E-03   0.00000       0.00000       0.00000      0.317860E-01   0.00000      -1.00000      0.281394      0.104337E-03   0.00000       2.63587       16.5534       0.00000      0.469880E-03  0.469880E-03   0.00000    
 0.72000D+02   1.718706       0.000000      0.692974E-02  0.596651E-02  0.314210E-01   0.00000       0.00000       0.00000      0.947975E-04  0.106180E-03  0.447173E-03   0.00000       0.00000       0.00000      0.327246E-01   0.00000      -1.00000      0.281395      0.105044E-03   0.00000       2.63317       16.4766       0.00000      0.469280E-03  0.469280E-03   0.00000    
 0.74000D+02   1.718704       0.000000      0.711928E-02  0.617877E-02  0.323152E-01   0.00000       0.00000       0.00000      0.947912E-04  0.106411E-03  0.447178E-03   0.00000       0.00000       0.00000      0.336621E-01   0.00000      -1.00000      0.281396      0.105768E-03   0.00000       2.63109       16.3770       0.00000      0.469337E-03  0.469337E-03   0.00000    
 0.76000D+02   1.718704       0.000000      0.730883E-02  0.639195E-02  0.332098E-01   0.00000       0.00000       0.00000      0.947085E-04  0.106555E-03  0.447162E-03   0.00000       0.00000       0.00000      0.346001E-01   0.00000      -1.00000      0.281396      0.104972E-03   0.00000       2.63332       16.2550       0.00000      0.469338E-03  0.469338E-03   0.00000    
 0.78000D+02   1.718704       0.000000      0.749806E-02  0.660482E-02  0.341041E-01   0.00000       0.00000       0.00000      0.945797E-04  0.106297E-03  0.447152E-03   0.00000       0.00000       0.00000      0.355378E-01   0.00000      -1.00000      0.281396      0.102683E-03   0.00000       2.63330       16.1175       0.00000      0.469243E-03  0.469243E-03   0.00000    
 0.80000D+02   1.718704       0.000000      0.768737E-02  0.681635E-02  0.350015E-01   0.00000       0.00000       0.00000      0.943966E-04  0.106192E-03  0.447211E-03   0.00000       0.00000       0.00000      0.364783E-01   0.00000      -1.00000      0.281397      0.100038E-03   0.00000       2.63109       15.9509       0.00000      0.469239E-03  0.469239E-03   0.00000    
 0.82000D+02   1.718700       0.000000      0.787584E-02  0.701253E-02  0.359138E-01   0.00000       0.00000       0.00000      0.942336E-04  0.106327E-03  0.447241E-03   0.00000       0.00000       0.00000      0.374300E-01   0.00000      -1.00000      0.281400      0.104188E-03   0.00000       2.62676       15.7408       0.00000      0.469265E-03  0.469265E-03   0.00000    
 0.84000D+02   1.718700       0.000000      0.806377E-02  0.722561E-02  0.368080E-01   0.00000       0.00000       0.00000      0.936101E-04  0.106644E-03  0.446960E-03   0.00000       0.00000       0.00000      0.383674E-01   0.00000      -1.00000      0.281400      0.988001E-04   0.00000       2.63127       15.5042       0.00000      0.468945E-03  0.468945E-03   0.00000    
 0.86000D+02   1.718701       0.000000      0.825057E-02  0.744160E-02  0.377007E-01   0.00000       0.00000       0.00000      0.932173E-04  0.106558E-03  0.446799E-03   0.00000       0.00000       0.00000      0.393038E-01   0.00000      -1.00000      0.281400      0.941700E-04   0.00000       2.63034       15.2485       0.00000      0.468694E-03  0.468694E-03   0.00000    
 0.88000D+02   1.718701       0.000000      0.843689E-02  0.765446E-02  0.385943E-01   0.00000       0.00000       0.00000      0.932233E-04  0.106299E-03  0.446750E-03   0.00000       0.00000       0.00000      0.402404E-01   0.00000      -1.00000      0.281400      0.932259E-04   0.00000       2.63140       14.9553       0.00000      0.468589E-03  0.468589E-03   0.00000    
 0.90000D+02   1.718700       0.000000      0.862295E-02  0.786578E-02  0.394876E-01   0.00000       0.00000       0.00000      0.932092E-04  0.106146E-03  0.446581E-03   0.00000       0.00000       0.00000      0.411764E-01   0.00000      -1.00000      0.281400      0.927791E-04   0.00000       2.63465       14.6623       0.00000      0.468390E-03  0.468390E-03   0.00000    
 0.92000D+02   1.718703       0.000000      0.880498E-02  0.809086E-02  0.403666E-01   0.00000       0.00000       0.00000      0.927533E-04  0.106220E-03  0.445969E-03   0.00000       0.00000       0.00000      0.421005E-01   0.00000      -1.00000      0.281398      0.864049E-04   0.00000       2.62857       14.5263       0.00000      0.467733E-03  0.467733E-03   0.00000    
 0.94000D+02   1.718703       0.000000      0.899041E-02  0.830407E-02  0.412583E-01   0.00000       0.00000       0.00000      0.926675E-04  0.106670E-03  0.445654E-03   0.00000       0.00000       0.00000      0.430352E-01   0.00000      -1.00000      0.281398      0.891147E-04   0.00000       2.62879       14.3308       0.00000      0.467518E-03  0.467518E-03   0.00000    
 0.96000D+02   1.718703       0.000000      0.917577E-02  0.851799E-02  0.421495E-01   0.00000       0.00000       0.00000      0.926300E-04  0.107178E-03  0.445383E-03   0.00000       0.00000       0.00000      0.439697E-01   0.00000      -1.00000      0.281398      0.957101E-04   0.00000       2.62763       14.2021       0.00000      0.467369E-03  0.467369E-03   0.00000    
 0.98000D+02   1.718703       0.000000      0.936105E-02  0.873253E-02  0.430398E-01   0.00000       0.00000       0.00000      0.927112E-04  0.107435E-03  0.445250E-03   0.00000       0.00000       0.00000      0.449034E-01   0.00000      -1.00000      0.281398      0.103110E-03   0.00000       2.62908       13.9030       0.00000      0.467317E-03  0.467317E-03   0.00000    
 0.10000D+03   1.718703       0.000000      0.954712E-02  0.894885E-02  0.439304E-01   0.00000       0.00000       0.00000      0.926894E-04  0.107495E-03  0.445163E-03   0.00000       0.00000       0.00000      0.458378E-01   0.00000      -1.00000      0.281398      0.104732E-03   0.00000       2.62096       13.6707       0.00000      0.467243E-03  0.467243E-03   0.00000    
 0.10200D+03   1.718703       0.000000      0.973108E-02  0.916476E-02  0.448169E-01   0.00000       0.00000       0.00000      0.924197E-04  0.107401E-03  0.445031E-03   0.00000       0.00000       0.00000      0.467679E-01   0.00000      -1.00000      0.281397      0.104047E-03   0.00000       2.61970       13.4378       0.00000      0.467043E-03  0.467043E-03   0.00000    
 0.10400D+03   1.718690       0.000000      0.984365E-02  0.939058E-02  0.457175E-01   0.00000       0.00000       0.00000      0.925800E-04  0.108407E-03  0.444434E-03   0.00000       0.00000       0.00000      0.476987E-01   0.00000      -1.00000      0.281410      0.936316E-04   0.00000       2.62142       13.2727       0.00000      0.466739E-03  0.466739E-03   0.00000    
 0.10600D+03   1.718689       0.000000      0.100301E-01  0.960291E-02  0.466100E-01   0.00000       0.00000       0.00000      0.922353E-04  0.108724E-03  0.444289E-03   0.00000       0.00000       0.00000      0.486345E-01   0.00000      -1.00000      0.281411      0.100494E-03   0.00000       2.62198       13.0195       0.00000      0.466606E-03  0.466606E-03   0.00000    
 0.10800D+03   1.718689       0.000000      0.102143E-01  0.982076E-02  0.474990E-01   0.00000       0.00000       0.00000      0.919508E-04  0.109046E-03  0.444514E-03   0.00000       0.00000       0.00000      0.495675E-01   0.00000      -1.00000      0.281411      0.109733E-03   0.00000       2.62578       12.8325       0.00000      0.466840E-03  0.466840E-03   0.00000    
 0.11000D+03   1.718689       0.000000      0.103978E-01  0.100376E-01  0.483892E-01   0.00000       0.00000       0.00000      0.917261E-04  0.109294E-03  0.444738E-03   0.00000       0.00000       0.00000      0.505014E-01   0.00000      -1.00000      0.281411      0.119062E-03   0.00000       2.62415       12.7632       0.00000      0.467066E-03  0.467066E-03   0.00000    
 0.11200D+03   1.718702       0.000000      0.106514E-01  0.102316E-01  0.492666E-01   0.00000       0.00000       0.00000      0.914973E-04  0.107393E-03  0.444091E-03   0.00000       0.00000       0.00000      0.514328E-01   0.00000      -1.00000      0.281398      0.113804E-03   0.00000       2.62143       12.5708       0.00000      0.465963E-03  0.465963E-03   0.00000    
 0.11400D+03   1.718701       0.000000      0.108262E-01  0.104410E-01  0.501518E-01   0.00000       0.00000       0.00000      0.913931E-04  0.107654E-03  0.444210E-03   0.00000       0.00000       0.00000      0.523586E-01   0.00000      -1.00000      0.281400      0.115891E-03   0.00000       2.61762       12.5315       0.00000      0.466117E-03  0.466117E-03   0.00000    
 0.11600D+03   1.718701       0.000000      0.110089E-01  0.106563E-01  0.510402E-01   0.00000       0.00000       0.00000      0.913555E-04  0.107686E-03  0.444065E-03   0.00000       0.00000       0.00000      0.532903E-01   0.00000      -1.00000      0.281400      0.114751E-03   0.00000       2.62189       12.4591       0.00000      0.465978E-03  0.465978E-03   0.00000    
