     time             m1            m2            x1            y1            z1            x2            y2            z2           vx1           vy1           vz1           vx2           vy2           vz2    separation   semimajor_a  eccentricity    unbound_m          spin1         spin2       rstar95       rstar99        r_peri        v1_inf        v2_inf   orb._period
 0.10066D+01   1.000050       1.000050       3.07943       3.32959      0.471292E-09  -3.07943      -3.32959     -0.126142E-10 -0.392339     -0.272291      0.990511E-09  0.392339      0.272291     -0.501647E-10   9.07063      -4.24397       1.18850       0.00000      0.222523E-08  0.293423E-08  0.499449      0.644199      0.800000      0.343250      0.343250               NaN
 0.49929D+01   1.000050       1.000050       1.42746       2.13945      0.233065E-07  -1.42746      -2.13945     -0.460037E-08 -0.444548     -0.338547      0.125403E-07  0.444548      0.338547     -0.346277E-08   5.14388      -4.24391       1.18851       0.00000      0.201389E-07  0.196786E-07  0.499430      0.644636      0.799999      0.343252      0.343252               NaN
 0.89999D+01  0.9992299      0.6266367     -0.401323     -0.100535      0.376173E-06  0.383461      0.112567      0.116468E-03  0.101009      -1.11342     -0.172715E-04 -0.130778       1.11594     -0.105807E-04  0.813202      -1.58609       1.50165      0.374234      0.107965E-01  0.112236E-02  0.489086      0.656847      0.795664      0.609159      0.454171               NaN
 0.13000D+02   1.002386      0.9913449       1.28157      -1.92055     -0.112094E-03  -1.29413       1.93113      0.814951E-04  0.380458     -0.232848     -0.295698E-04 -0.383047      0.233782      0.183862E-04   4.63354       33.2948      0.976959      0.636998E-02  0.335873E-01  0.289807E-01  0.643970       1.82003      0.767141      0.116302E-02  0.116302E-02   854.892    
 0.16999D+02   1.000970      0.9946219       2.64487      -2.65016     -0.113828E-03  -2.65700       2.65811      0.494516E-04  0.309744     -0.146503     -0.594204E-05 -0.310913      0.146854     -0.335477E-05   7.50250       32.8730      0.976671      0.450884E-02  0.331753E-01  0.299887E-01  0.622143       1.69547      0.766884      0.496778E-03  0.496778E-03   838.307    
 0.21000D+02  0.9999176      0.9962728       3.80401      -3.16082     -0.139674E-03  -3.81246       3.16453      0.453753E-04  0.270597     -0.110677     -0.299379E-05 -0.271070      0.110758     -0.398865E-06   9.90054       32.8261      0.976634      0.391015E-02  0.325131E-01  0.307325E-01  0.614782       1.52634      0.767025      0.304621E-03  0.304621E-03   836.386    
 0.25000D+02  0.9994431      0.9971300       4.83417      -3.56132     -0.200012E-03  -4.84000       3.56255      0.549501E-04  0.244365     -0.901502E-01 -0.350603E-05 -0.244578      0.901451E-01 -0.109679E-05   12.0141       32.8384      0.976667      0.352745E-02  0.325275E-01  0.311802E-01  0.611761       1.46688      0.766223      0.206705E-03  0.206705E-03   836.776    
 0.29001D+02  0.9992422      0.9975492       5.77299      -3.89399     -0.233809E-03  -5.77747       3.89408      0.565481E-04  0.224950     -0.764568E-01 -0.273058E-05 -0.225064      0.764310E-01 -0.276122E-05   13.9308       32.8496      0.976681      0.330918E-02  0.324481E-01  0.313835E-01  0.610900       1.46177      0.766014      0.154726E-03  0.154726E-03   837.161    
 0.33001D+02  0.9991715      0.9977535       6.64172      -4.17937     -0.225825E-03  -6.64581       4.17904      0.233774E-04  0.209684     -0.665135E-01 -0.296492E-05 -0.209765      0.664852E-01 -0.268568E-05   15.6978       32.8474      0.976684      0.317557E-02  0.324188E-01  0.314780E-01  0.609281       1.46375      0.765871      0.124544E-03  0.124544E-03   837.049    
 0.36999D+02  0.9991251      0.9979002       7.45463      -4.42964     -0.252028E-03  -7.45848       4.42904      0.258029E-04  0.197196     -0.588815E-01 -0.269789E-05 -0.197256      0.588558E-01 -0.315362E-05   17.3458       32.8430      0.976688      0.307524E-02  0.324056E-01  0.315461E-01  0.609570       1.46279      0.765644      0.103322E-03  0.103322E-03   836.859    
 0.40997D+02  0.9990844      0.9980033       8.22179      -4.65267     -0.271867E-03  -8.22528       4.65180      0.106869E-04  0.186679     -0.527858E-01 -0.177756E-05 -0.186721      0.527612E-01 -0.398337E-05   18.8965       32.8450      0.976694      0.301279E-02  0.324083E-01  0.315962E-01  0.608953       1.46284      0.765482      0.898746E-04  0.898746E-04   836.922    
 0.45002D+02  0.9990744      0.9980692       8.95089      -4.85374     -0.263205E-03  -8.95442       4.85293      0.803496E-05  0.177596     -0.477556E-01 -0.158018E-05 -0.177634      0.477364E-01 -0.393469E-05   20.3671       32.8436      0.976695      0.295700E-02  0.324175E-01  0.316352E-01  0.609495       1.46730      0.765405      0.779213E-04  0.779213E-04   836.858    
 0.49002D+02  0.9990637      0.9981140       9.64504      -5.03613     -0.255647E-03  -9.64853       5.03533     -0.181575E-04  0.169646     -0.435271E-01 -0.164478E-05 -0.169681      0.435116E-01 -0.426376E-05   21.7641       32.8421      0.976696      0.292282E-02  0.324153E-01  0.316607E-01  0.607384       1.47541      0.765339      0.694446E-04  0.694446E-04   836.793    
 0.52999D+02  0.9990313      0.9981813       10.3092      -5.20288     -0.267045E-03  -10.3123       5.20190     -0.374661E-04  0.162591     -0.399063E-01 -0.126388E-05 -0.162615      0.398909E-01 -0.501621E-05   23.0977       32.8437      0.976700      0.288797E-02  0.324064E-01  0.316982E-01  0.607825       1.47866      0.765272      0.620529E-04  0.620529E-04   836.848    
 0.57003D+02  0.9990059      0.9982319       10.9475      -5.35639     -0.276624E-03  -10.9502       5.35523     -0.431358E-04  0.156240     -0.367526E-01 -0.158662E-05 -0.156256      0.367370E-01 -0.451051E-05   24.3771       32.8456      0.976703      0.286280E-02  0.324028E-01  0.317306E-01  0.609762       1.47936      0.765199      0.569544E-04  0.569544E-04   836.912    
 0.61000D+02  0.9990013      0.9982569       11.5603      -5.49762     -0.261539E-03  -11.5630       5.49650     -0.632717E-04  0.150482     -0.339768E-01 -0.131329E-05 -0.150497      0.339642E-01 -0.470233E-05   25.6038       32.8453      0.976706      0.284229E-02  0.324294E-01  0.317512E-01  0.608202       1.49046      0.765094      0.525178E-04  0.525178E-04   836.899    
 0.65001D+02  0.9990099      0.9982714       12.1514      -5.62848     -0.234941E-03  -12.1544       5.62748     -0.692813E-04  0.145208     -0.315035E-01 -0.712919E-06 -0.145226      0.314931E-01 -0.484654E-05   26.7856       32.8444      0.976707      0.281930E-02  0.324510E-01  0.317624E-01  0.609512       1.49308      0.765038      0.482620E-04  0.482620E-04   836.860    
